index,prediction
5899,
5900,
5901,
5902,150 gram
5903,
5904,
5905,21.5 centimetre
5906,8.45 centimetre
5907,46 centimetre
5908,180 centimetre
5909,454 gram
5910,0.8 inch
5911,
5912,180 centimetre
5913,
5914,14.5 inch
5915,14.5 inch
5916,7.6 inch
5917,5 centimetre
5918,244 centimetre
5919,2500 gram
5920,150 kilogram
5921,113 gram
5922,9 centimetre
5923,
5924,29.25 inch
5925,43.75 inch
5926,
5927,240 volt
5928,39 centimetre
5929,65 centimetre
5930,65 centimetre
5931,18 gram
5932,20.5 inch
5933,
5934,6.77 inch
5935,20.2 centimetre
5936,36 inch
5937,
5938,99.5 centimetre
5939,36.5 centimetre
5940,5 volt
5941,7.8 centimetre
5942,150 kilogram
5943,5 inch
5944,800 pound
5945,
5946,5 centimetre
5947,18 volt
5948,33 centimetre
5949,130 centimetre
5950,8 centimetre
5951,10 metre
5952,10 metre
5953,1 kilogram
5954,11.7 centimetre
5955,80 watt
5956,
5957,250 pound
5958,12 kilogram
5959,17.60 gram
5960,110 centimetre
5961,21 volt
5962,26 ounce
5963,2.6 ounce
5964,60 centimetre
5965,
5966,
5967,1200 watt
5968,18 centimetre
5969,2 fluid ounce
5970,113 gram
5971,6 fluid ounce
5972,28 pound
5973,
5974,
5975,4.3 centimetre
5976,4.3 inch
5977,4.3 inch
5978,0.1 gram
5979,19 centimetre
5980,19 centimetre
5981,19 centimetre
5982,340 gram
5983,
5984,
5985,
5986,8 centimetre
5987,8 centimetre
5988,250 gram
5989,3 centimetre
5990,3 centimetre
5991,43 centimetre
5992,
5993,
5994,
5995,
5996,4.1 inch
5997,4.1 centimetre
5998,57 pound
5999,5 pound
6000,5.9 inch
6001,5.9 inch
6002,41 centimetre
6003,80 centimetre
6004,50 centimetre
6005,40 centimetre
6006,
6007,645 metre
6008,6.6 centimetre
6009,12 centimetre
6010,18 centimetre
6011,7.07 inch
6012,
6013,
6014,
6015,113 gram
6016,43 centimetre
6017,3 inch
6018,3 inch
6019,
6020,17 centimetre
6021,17 centimetre
6022,22.8 centimetre
6023,22.8 metre
6024,13 centimetre
6025,90 centimetre
6026,7.5 centimetre
6027,13.2 centimetre
6028,300 metre
6029,300 metre
6030,300 metre
6031,46.8 centimetre
6032,14 inch
6033,33.8 ounce
6034,40 centimetre
6035,0.79 inch
6036,31.5 pound
6037,0.83 fluid ounce
6038,120 centimetre
6039,12 volt
6040,340 gram
6041,
6042,24 fluid ounce
6043,106 centimetre
6044,12 volt
6045,1.41 ounce
6046,6.5 centimetre
6047,6 gram
6048,150 pound
6049,300 pound
6050,
6051,0.31 inch
6052,4.4 inch
6053,
6054,
6055,40 centimetre
6056,75 metre
6057,12 inch
6058,12 inch
6059,12 inch
6060,6.5 centimetre
6061,8 centimetre
6062,8 centimetre
6063,8 centimetre
6064,
6065,12 centimetre
6066,12 centimetre
6067,140 metre
6068,28 centimetre
6069,28 centimetre
6070,28 centimetre
6071,75 gram
6072,550 pound
6073,12 litre
6074,4.7 inch
6075,7.2 metre
6076,90 pound
6077,6.2 inch
6078,6.2 inch
6079,8 centimetre
6080,8 centimetre
6081,8 centimetre
6082,8.4 ounce
6083,
6084,3.2 inch
6085,
6086,260 metre
6087,25 centimetre
6088,25 centimetre
6089,2.1 ounce
6090,9.8 centimetre
6091,
6092,86 metre
6093,4.72 inch
6094,12.00 centimetre
6095,150 centimetre
6096,90 gram
6097,
6098,7.6 centimetre
6099,
6100,2.5 ounce
6101,10 pound
6102,500 millilitre
6103,25 pound
6104,1 pound
6105,500 pound
6106,2.5 ounce
6107,4.9 inch
6108,
6109,64 metre
6110,
6111,
6112,1800 watt
6113,
6114,18 volt
6115,5 centimetre
6116,16.40 foot
6117,
6118,134 metre
6119,134 metre
6120,110 metre
6121,110 metre
6122,50 centimetre
6123,2 milligram
6124,300 pound
6125,23 kilogram
6126,4 centimetre
6127,
6128,
6129,1 watt
6130,
6131,120 volt
6132,
6133,55 centimetre
6134,55 centimetre
6135,
6136,
6137,350 pound
6138,765 metre
6139,21 centimetre
6140,15 centimetre
6141,503 gram
6142,90 centimetre
6143,220 centimetre
6144,25 centimetre
