index,prediction
65472,7.5 inch
65473,3.1 inch
65474,3.1 inch
65475,21 centimetre
65476,
65477,13 inch
65478,13 inch
65479,50 centimetre
65480,222 centimetre
65481,305 centimetre
65482,60 inch
65483,60 inch
65484,21 centimetre
65485,58.3 centimetre
65486,122 centimetre
65487,100 centimetre
65488,450 metre
65489,600 metre
65490,210 centimetre
65491,31.5 inch
65492,9.0 centimetre
65493,9.0 centimetre
65494,28 centimetre
65495,28 centimetre
65496,11 centimetre
65497,23.4 centimetre
65498,23.4 centimetre
65499,25 centimetre
65500,11.79 inch
65501,33.5 centimetre
65502,76 centimetre
65503,76 centimetre
65504,13 metre
65505,13 metre
65506,31 centimetre
65507,55 inch
65508,140 metre
65509,16 fluid ounce
65510,6.5 centimetre
65511,2.55 inch
65512,18.9 inch
65513,20 inch
65514,20 inch
65515,
65516,17.8 inch
65517,54 inch
65518,
65519,69 centimetre
65520,12 inch
65521,21.5 centimetre
65522,21.5 centimetre
65523,6.6 centimetre
65524,11.9 centimetre
65525,100 metre
65526,100 metre
65527,100 metre
65528,16.33 inch
65529,19 centimetre
65530,19 centimetre
65531,
65532,295 metre
65533,51.0 metre
65534,10.5 centimetre
65535,32.8 inch
65536,20 inch
65537,20 inch
65538,5.3 centimetre
65539,5.3 centimetre
65540,20.5 centimetre
65541,
65542,15.5 inch
65543,16.5 inch
65544,5.5 inch
65545,5.5 inch
65546,3.74 inch
65547,3.74 inch
65548,3 centimetre
65549,9 centimetre
65550,10.9 centimetre
65551,38.5 centimetre
65552,61 centimetre
65553,37 centimetre
65554,3.2 inch
65555,4 centimetre
65556,180 centimetre
65557,215 centimetre
65558,17 centimetre
65559,
65560,18 volt
65561,
65562,46.5 centimetre
65563,
65564,60 watt
65565,4.3 inch
65566,11.0 centimetre
65567,16 centimetre
65568,3.0 inch
65569,
65570,946 millilitre
65571,71 inch
65572,84 inch
65573,
65574,40 inch
65575,281 gram
65576,265 pound
65577,
65578,90 centimetre
65579,30 centimetre
65580,120 volt
65581,25 watt
65582,57 centimetre
65583,17 centimetre
65584,
65585,24 centimetre
65586,24 centimetre
65587,32 centimetre
65588,45 centimetre
65589,86 metre
65590,15 centimetre
65591,57.5 centimetre
65592,40 centimetre
65593,15 centimetre
65594,15 centimetre
65595,15 centimetre
65596,2.1 centimetre
65597,14.2 centimetre
65598,21 centimetre
65599,38 centimetre
65600,366 metre
65601,15 inch
65602,3.5 inch
65603,10 inch
65604,10 inch
65605,15 centimetre
65606,
65607,
65608,56 centimetre
65609,31.8 gram
65610,92 metre
65611,92 metre
65612,24 centimetre
65613,24 centimetre
65614,24 centimetre
65615,9.5 inch
65616,2.4 inch
65617,
65618,37.5 inch
65619,
65620,9.6 centimetre
65621,
65622,166 centimetre
65623,4.7 ounce
65624,
65625,5.9 centimetre
65626,5.9 centimetre
65627,17 centimetre
65628,1.5 pound
65629,6.5 ounce
65630,59.05 inch
65631,
65632,200 watt
65633,11 centimetre
65634,
65635,90 centimetre
65636,148 metre
65637,148 metre
65638,44 centimetre
65639,100 metre
65640,
65641,
65642,200 gram
65643,16 fluid ounce
65644,8.6 centimetre
65645,5.2 centimetre
65646,7 inch
65647,7 inch
65648,13 inch
65649,18 inch
65650,2 inch
65651,210 centimetre
65652,8.5 centimetre
65653,127 centimetre
65654,127 centimetre
65655,20.7 centimetre
65656,11 pound
65657,11.4 inch
65658,11 centimetre
65659,20.0 centimetre
65660,
65661,1.96 inch
65662,
65663,40.6 centimetre
65664,15 centimetre
65665,11.5 centimetre
65666,35.04 inch
65667,51.77 inch
65668,75 centimetre
65669,15 centimetre
65670,13.4 centimetre
65671,50 centimetre
65672,4 inch
65673,18.5 centimetre
65674,18.5 centimetre
65675,3.5 centimetre
65676,6.5 centimetre
65677,3.5 centimetre
65678,35.5 centimetre
65679,13.2 inch
65680,20 centimetre
65681,12 volt
65682,2.2 watt
65683,150 centimetre
65684,25 centimetre
65685,120 watt
65686,
65687,
65688,8.6 inch
65689,5 inch
65690,5.9 inch
65691,5.9 inch
65692,3800 watt
