index,prediction
30035,
30036,145 metre
30037,60 centimetre
30038,
30039,0.8 centimetre
30040,17.5 centimetre
30041,6.9 inch
30042,6.70 inch
30043,2.12 ounce
30044,113 gram
30045,
30046,13 inch
30047,2.4 inch
30048,
30049,80 centimetre
30050,30 centimetre
30051,
30052,31.5 centimetre
30053,31.5 centimetre
30054,28 centimetre
30055,2.0 ounce
30056,2.0 fluid ounce
30057,300 metre
30058,615 metre
30059,
30060,40 centimetre
30061,19.3 inch
30062,5.9 inch
30063,23.6 inch
30064,23.6 inch
30065,76 centimetre
30066,20 centimetre
30067,20 centimetre
30068,20 centimetre
30069,
30070,30 centimetre
30071,30 centimetre
30072,30 centimetre
30073,1.02 kilogram
30074,
30075,19 centimetre
30076,7.3 inch
30077,21.3 centimetre
30078,7.5 inch
30079,11.5 centimetre
30080,31.5 centimetre
30081,7 centimetre
30082,
30083,30 centimetre
30084,6 metre
30085,6 metre
30086,6 metre
30087,3.7 inch
30088,9 inch
30089,59 inch
30090,170 metre
30091,
30092,
30093,39 inch
30094,3.9 inch
30095,5.5 inch
30096,70.9 centimetre
30097,11.5 centimetre
30098,13.76 ounce
30099,
30100,40 inch
30101,7.5 inch
30102,7.5 inch
30103,7.5 inch
30104,7 centimetre
30105,120 centimetre
30106,240 volt
30107,20 watt
30108,12.6 inch
30109,3 kilogram
30110,30 centimetre
30111,3.5 centimetre
30112,17.7 inch
30113,17.7 inch
30114,17.7 inch
30115,6.3 inch
30116,23 centimetre
30117,12 inch
30118,12 inch
30119,650 pound
30120,15 centimetre
30121,13 centimetre
30122,
30123,
30124,6.5 centimetre
30125,7.5 centimetre
30126,
30127,30 centimetre
30128,200 centimetre
30129,60 centimetre
30130,
30131,15.0 centimetre
30132,15.0 centimetre
30133,11.5 centimetre
30134,
30135,730 metre
30136,730 metre
30137,14 metre
30138,14 metre
30139,0.175 kilogram
30140,1.6 ounce
30141,
30142,42 metre
30143,163 centimetre
30144,2 centimetre
30145,2 centimetre
30146,20 centimetre
30147,20 centimetre
30148,125 gram
30149,26 centimetre
30150,2.3 inch
30151,15 inch
30152,126 centimetre
30153,126 centimetre
30154,25.5 centimetre
30155,
30156,18 volt
30157,32.1 centimetre
30158,1.2 ounce
30159,48 pound
30160,43 centimetre
30161,3.5 centimetre
30162,288 gram
30163,24 inch
30164,
30165,
30166,
30167,20 volt
30168,60 centimetre
30169,60 centimetre
30170,28 inch
30171,28 inch
30172,506 metre
30173,250 gram
30174,5 volt
